categoria,vendedor_link,especificacoes,vendedor,fabricante,preco,modelo,local
Processadores,http://www.boadica.com.br/detalhevendedor.asp?codigo=104507a7e9900eacc32a3d6dd5f7d02a,"Processador Intel Core i5-4690 3.5GHz turbo boost 3.9GHz LGA 1150 84W  6MB Cache Quad-Core Desktop Processor Intel HD Graphics.
          ,
          ,
          ,

         ","FS Brothers Av Central,
         (21)2210-7449",Intel,"
			R$ 660,00
         ","
         Core i5-4690 - BOX,
          , 

         ,
,
         ,
         ","Rio de Janeiro / RJ,Centro"
Processadores,http://www.boadica.com.br/detalhevendedor.asp?codigo=7cad94e3d79e2ddfe6e348e5f224db2e,"Processador Intel Core i5 4570 (Haswell), Quad-Core, 3.2GHz (3.6GHz Turbo Boost) 4 x 256KB L2 Cache 6MB L3 Cache LGA 1150 84W, 22 Nm. 
          ,
          ,
          ,

         ","JD Informática,
         (21) 2613-6541",Intel,"
			R$ 677,00
         ","
         Core i5-4570 - BOX,
          , 

         ,
,
         ,
         ","Niterói / RJ,Centro"
Processadores,http://www.boadica.com.br/detalhevendedor.asp?codigo=80e083b84d90c9d2aa7e42d2ed345ff5,"Processador Intel Core i5-4670 Haswell 3.4GHz LGA 1150 84W Quad-Core Desktop Processor Intel HD Graphics 
          ,
          ,
          ,

         ","IREletro.com,
         (21) 3468-7381",Intel,"
			R$ 679,00
         ","
         Core i5-4670,
          , 

         ,
,
         ,
         ","Rio de Janeiro / RJ,Bangu"
Processadores,http://www.boadica.com.br/detalhevendedor.asp?codigo=12f40959cb55205eee308f11ba5922e2,"Processador Intel Core i5-4670 Haswell 3.4GHz LGA 1150 84W Quad-Core Desktop Processor Intel HD Graphics 
          ,
          ,
          ,

         ","IAS Tecnologia,
         (21) 2401-1026",Intel,"
			R$ 679,00
         ","
         Core i5-4670 - BOX,
          , 

         ,
,
         ,
         ","Rio de Janeiro / RJ,Bangu"
Processadores,http://www.boadica.com.br/detalhevendedor.asp?codigo=356fb70b5c98005bb69d13be9c30e18b,"Processador Intel Core i5-4670 Haswell 3.4GHz LGA 1150 84W Quad-Core Desktop Processor Intel HD Graphics 
          ,
          ,
          ,

         ","Siloe Informática,
         (21) 3336-2730",Intel,"
			R$ 680,00
         ","
         Core i5-4670 - BOX,
          , 

         ,
,
         ,
         ","Rio de Janeiro / RJ,Bangu"
Placas de vídeo/Edição,http://www.boadica.com.br/detalhevendedor.asp?codigo=65e890dfdc3ab853f8ce0c8da6be67a7,"NVIDIA GeForce GTX 650 1GB DDR5, Core Clock: 1202MHz, Memory Clock: 5000MHz effective, Memory Interface: 128-bit, Memory Bandwidth: 80.0 GB/s, Bus: PCI-Express 3.0 x16, RAMDAC: 400MHz, CUDA Cores: 384, Max Resolution: 2560 x 1600, Connectors: DVI-I, DVI-D, Mini HDMI
          ,
          ,
          ,

         ","A3D-Tech,
         (21) 3594-4761",EVGA,"
			R$ 314,95
         ","
         01G-P4-2652-KR - BOX,
         ,
,
         ,
         ","Rio de Janeiro / RJ,Centro"
Memória,http://www.boadica.com.br/detalhevendedor.asp?codigo=767eeb515cc80e0dfb33c329170a4ab0,"Memória G-Skill Sniper 4GB (1 x 4GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800), Cas Latency: 9, Voltage: 1.5V, Timing: 9-9-9-24-2N, Compatível com chipsets AMD e Intel (XMP Ready)

          ,
          ,
          ,

         ","Lacosta Informática,
         2220-6503",G-Skill,"
			R$ 160,00
         ","
         F3-12800CL9S-4GBSR  - BOX,
         ,
,
         ,
         ","Rio de Janeiro / RJ,Centro"
Processadores,http://www.boadica.com.br/detalhevendedor.asp?codigo=6ec2c7bbb2fa776944f3c62f390c16dc,"Processador Intel Core i7 4770 (Haswell) 3.4GHz (3.8GHz Turbo) LGA 1150 84W Quad-Core, 22 nm 
          ,
          ,
          ,

         ","Infolux,
         (21)2262-2107",Intel,"
			R$ 883,00
         ","
         Core i7-4770 - BOX,
          , 

         ,
,
         ,
         ","Rio de Janeiro / RJ,Centro"
Placas de vídeo/Edição,http://www.boadica.com.br/detalhevendedor.asp?codigo=cb4eefcf5f88cf3ac023912645185025,"NVIDIA GeForce GTX 660 2GB GDDR5, Boost Clock: 993/1059 MHz, Memory Clock: 6008 MHz, Memory Interface: 192-bit, Bus: PCI-Express 3.0 x16, Max Resolution: 2560 x 1600, Connectors: 2x DVI, 1x HDMI e 1x DisplayPort 1.2.
          ,
          ,
          ,

         ","QueroPreço,
         (21)2217-4310 ",EVGA,"
			R$ 788,00
         ","
         02G-P4-2660-KR,
          , 

         ,
,
         ,
         ","Rio de Janeiro / RJ,Centro"
Memória,http://www.boadica.com.br/detalhevendedor.asp?codigo=613475209426bd9924e15b0fce8b17b3,"Memória Corsair Vengeance 4GB 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory, Cas Latency: 9, Timing: 9-9-9-24, 1.5V
          ,
          ,
          ,

         ","@N@ Informática,
         (21) 2568-6956",Corsair,"
			R$ 180,00
         ","
         CMZ4GX3M1A1600C9B - BOX,
         ,
,
         ,
         ","Rio de Janeiro / RJ,Tijuca"
Processadores,http://www.boadica.com.br/detalhevendedor.asp?codigo=c56a90224716f3abaeb39f1abffba5f9,"Processador Intel Core i5 4430 (Haswell), Quad-Core, 3.0GHz (3.2GHz Turbo Boost) 4 x 256KB L2 Cache 6MB L3 Cache LGA 1150 84W, 22 Nm 
          ,
          ,
          ,

         ","RDL Network,
         (21) 2694-4938",Intel,"
			R$ 589,00
         ","
         Core i5-4430 - BOX,
          , 

         ,
,
         ,
         ","Nova Iguaçu / RJ,Parque Rodilândia"
Memória,http://www.boadica.com.br/detalhevendedor.asp?codigo=70a1aee6bdfa3b74e75f8fd06e01aefb,"Memória de 8GB 1600MHz DDR3 ECC CL11 DIMM w/TS, Standard 1G X 72 ECC 1600MHz 240-pin Unbuffered DIMM (DDR3, 1.5V, CL11, FBGA, Gold)
          ,
          ,
          ,

         ","M@X,
         (21)2240-0034",Kingston,"
			R$ 600,00
         ","
         KVR16E11/8 - BOX,
         ,
,
         ,
         ","Rio de Janeiro / RJ,Centro"
Memória,http://www.boadica.com.br/detalhevendedor.asp?codigo=cd55987ffa34705832df5c09ecacd151,"Memória CORSAIR 4GB 240-Pin DDR3 SDRAM DDR3 1600 Desktop Memory
          ,
          ,
          ,

         ","Cyber Info,
         (21) 2618-0280",Corsair,"
			R$ 164,00
         ","
         CMV4GX3M1A1600C11,
         ,
,
         ,
         ","Niterói / RJ,Centro"
Memória,http://www.boadica.com.br/detalhevendedor.asp?codigo=d530948a3499ed680c2cffffda9e6c83,"Memória de 4GB DDR3 1333MHZ CL 9-9-9 1.5V, PC3-10666 240-pin DIMM
          ,
          ,
          ,

         ","MCC,
         (21) 2446-1505",Corsair,"
			R$ 165,00
         ","
         CMV4GX3M1A1333C9 - BOX,
          , 

         ,
,
         ,
         ","Rio de Janeiro / RJ,Freguesia"
Memória,http://www.boadica.com.br/detalhevendedor.asp?codigo=34e6a7e0017321db67e4549e25330e96,"Memória Corsair Vengeance 4GB 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800)
          ,
          ,
          ,

         ","Note Vip,
         (21) 3585-3326",Corsair,"
			R$ 169,99
         ","
         CMZ4GX3M1A1600C9 - BOX,
         ,
,
         ,
         ","Rio de Janeiro / RJ,Centro"
Memória,http://www.boadica.com.br/detalhevendedor.asp?codigo=556a431151b11f1d5a7ed96fb7d0e5e0,"Memória Corsair Vengeance 4GB 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop, Timing 9-9-9-24, Cas Latency 9, Voltage 1.5V
          ,
          ,
          ,

         ","Only e One,
         (21)2215-2961",Corsair,"
			R$ 170,00
         ","
         CML4GX3M1A1600C9 - BOX,
          , 

         ,
,
         ,
         ","Rio de Janeiro / RJ,Centro"
Memória,http://www.boadica.com.br/detalhevendedor.asp?codigo=613475209426bd9924e15b0fce8b17b3,"Memória Corsair Vengeance 4GB 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800)
          ,
          ,
          ,

         ","@N@ Informática,
         (21) 2568-6956",Corsair,"
			R$ 170,00
         ","
         CMZ4GX3M1A1600C9 - BOX,
         ,
,
         ,
         ","Rio de Janeiro / RJ,Tijuca"
Memória,http://www.boadica.com.br/detalhevendedor.asp?codigo=45ebad0e59ddc7de6ceb8e6f97b57582,"Memória Corsair Vengeance 4GB 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop, Timing 9-9-9-24, Cas Latency 9, Voltage 1.5V
          ,
          ,
          ,

         ","Bits e Bytes,
         (21) 2148-4356",Corsair,"
			R$ 175,00
         ","
         CML4GX3M1A1600C9,
          , 

         ,
,
         ,
         ","Rio de Janeiro / RJ,Cachambi"
Memória,http://www.boadica.com.br/detalhevendedor.asp?codigo=767eeb515cc80e0dfb33c329170a4ab0,"Memória Corsair Vengeance 4GB 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800)
          ,
          ,
          ,

         ","Lacosta Informática,
         2220-6503",Corsair,"
			R$ 179,90
         ","
         CMZ4GX3M1A1600C9 - BOX,
         ,
,
         ,
         ","Rio de Janeiro / RJ,Centro"
Memória,http://www.boadica.com.br/detalhevendedor.asp?codigo=bc0820de2ff782a40aa17a4acdce4c17,"Kit Dual Channel CORSAIR Vengeance Pro 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 2400
          ,
          ,
          ,

         ","CNTech,
         (21)2220-6688",Corsair,"
			R$ 420,00
         ","
         CMY8GX3M2A2400C11 - BOX,
          , 

         ,
,
         ,
         ","Rio de Janeiro / RJ,Centro"
Memória,http://www.boadica.com.br/detalhevendedor.asp?codigo=767eeb515cc80e0dfb33c329170a4ab0,"Kit Dual Channel CORSAIR Vengeance Pro 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 2400
          ,
          ,
          ,

         ","Lacosta Informática,
         2220-6503",Corsair,"
			R$ 425,00
         ","
         CMY8GX3M2A2400C11 - BOX,
          , 

         ,
,
         ,
         ","Rio de Janeiro / RJ,Centro"
Memória,http://www.boadica.com.br/detalhevendedor.asp?codigo=4caa4a8cfa489ae997a1267d37a79b8b,"Kit Dual Channel Memória 8GB (2x4GB) 240-Pin DDR3 2133MHZ SDRAM, Latências: 11-11-11-27
          ,
          ,
          ,

         ","Gamemart Rio,
         (21) 2524-6672",Corsair,"
			R$ 429,90
         ","
         CML8GX3M2A2133C11G,
          , 

         ,
,
         ,
         ","Rio de Janeiro / RJ,Centro"
Memória,http://www.boadica.com.br/detalhevendedor.asp?codigo=fbd53c09a0814e7f1743d45dd136652e,"Kit Dual Channel Corsair Vengeance 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800)
          ,
          ,
          ,

         ","R.A Info,
         (21) 2527-0391",Corsair,"
			R$ 519,99
         ","
         CMZ16GX3M2A1600C10 - BOX,
         ,
,
         ,
         ","Rio de Janeiro / RJ,Botafogo"
Memória,http://www.boadica.com.br/detalhevendedor.asp?codigo=613475209426bd9924e15b0fce8b17b3,"Kit Dual Channel CORSAIR Vengeance 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 1600 Tested Voltage 1.5V Latencia 10-10-10-27.
          ,
          ,
          ,

         ","@N@ Informática,
         (21) 2568-6956",Corsair,"
			R$ 544,00
         ","
         CMZ16GX3M2A1600C10B - BOX,
         ,
,
         ,
         ","Rio de Janeiro / RJ,Tijuca"
Memória,http://www.boadica.com.br/detalhevendedor.asp?codigo=bc0820de2ff782a40aa17a4acdce4c17,"Kit Dual Channel Corsair Vengeance 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800)
          ,
          ,
          ,

         ","CNTech,
         (21)2220-6688",Corsair,"
			R$ 558,00
         ","
         CMZ16GX3M2A1600C11 - BOX,
         ,
,
         ,
         ","Rio de Janeiro / RJ,Centro"
Memória,http://www.boadica.com.br/detalhevendedor.asp?codigo=524e29c2d9bafe8c353b4a9a3a6d0daf,"Kit Dual Channel CORSAIR Vengeance 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 1600 Tested Voltage 1.5V Latencia 10-10-10-27.
          ,
          ,
          ,

         ","Portal 14,
         (21) 3553-3429",Corsair,"
			R$ 560,00
         ","
         CMZ16GX3M2A1600C10B - BOX,
         ,
,
         ,
         ","Rio de Janeiro / RJ,Centro"
Discos (HD),http://www.boadica.com.br/detalhevendedor.asp?codigo=bbc3cb9f8157afce0f4ef6eb71c28ac3,"Kingston SSDNow V300 Series SV300S37A/240G 2.5"" 240GB SATA III Internal Solid State Drive (SSD)
          ,
          ,
          ,

         ","Preçotimo,
         (21) 3529-1684",Kingston,"
			R$ 347,20
         ","
         SV300S37A/240G - BOX,
          , 

         ,
,
         ,
         ","Rio de Janeiro / RJ,Centro"
