vendedor_link,especificacoes,preco,vendedor,modelo,fabricante,local
http://www.boadica.com.br/detalhevendedor.asp?codigo=a846da4621725f4496481382054f79d0,"Kingston SSDNow V300 Series SV300S37A/120G 2.5"" 120GB SATA III Internal Solid State Drive (SSD)
          ,
          ","
			R$ 342,00
         ","Só Aqui Tem,
         (21) 2025-1640","
         SV300S37A/120G - BOX, 

         ,
         ",Kingston,"Rio de Janeiro / RJ,Centro"
http://www.boadica.com.br/detalhevendedor.asp?codigo=f8800541dfa02b45b5700d3139857fe5,"Kingston SSDNow V300 Series SV300S37A/120G 2.5"" 120GB SATA III Internal Solid State Drive (SSD)
          ,
          ","
			R$ 343,00
         ","Vem Que Tem,
         (21) 3197-1675","
         SV300S37A/120G - BOX, 

         ,
         ",Kingston,"Rio de Janeiro / RJ,Centro"
http://www.boadica.com.br/detalhevendedor.asp?codigo=4caa4a8cfa489ae997a1267d37a79b8b,"Crucial M500 (CT120M500SSD1) 2.5"" 120GB SATA III MLC Internal Solid State Drive (SSD)SATA III.
          ,
          ","
			R$ 344,90
         ","Gamemart Rio,
         (21) 2524-6672","
         CT120M500SSD1-120, 

         ,
         ",,"Rio de Janeiro / RJ,Centro"
http://www.boadica.com.br/detalhevendedor.asp?codigo=7f5217c00f8d6839dbbd5740d1391bf6,"Samsung 840 EVO Series Solid State Drive 120GB SATA.
          ,
          ","
			R$ 344,90
         ","Brasil Tech,
         (21) 3529-4419","
         MZ-7TE120BW - BOX, 

         ,
         ",Samsung,"Rio de Janeiro / RJ,Centro"
http://www.boadica.com.br/detalhevendedor.asp?codigo=53d96b7b5d17dfdd203e5dc78de531fa,"Samsung 840 EVO Series Solid State Drive 120GB SATA.
          ,
          ","
			R$ 344,90
         ","NC Games,
         (21)3529-4418","
         MZ-7TE120BW - BOX, 

         ,
         ",Samsung,"Rio de Janeiro / RJ,Centro"
http://www.boadica.com.br/detalhevendedor.asp?codigo=4caa4a8cfa489ae997a1267d37a79b8b,"Samsung 840 EVO Series Solid State Drive 120GB SATA.
          ,
          ","
			R$ 345,00
         ","Gamemart Rio,
         (21) 2524-6672","
         MZ-7TE120BW - BOX, 

         ,
         ",Samsung,"Rio de Janeiro / RJ,Centro"
http://www.boadica.com.br/detalhevendedor.asp?codigo=2397d6504926e531a7e24061c0da60c9,"Kingston SSDNow V300 Series SV300S37A/120G 2.5"" 120GB SATA III Internal Solid State Drive (SSD)
          ,
          ","
			R$ 345,00
         ","American Tech,
         (21) 3197-0952","
         SV300S37A/120G - BOX, 

         ,
         ",Kingston,"Rio de Janeiro / RJ,Centro"
http://www.boadica.com.br/detalhevendedor.asp?codigo=767eeb515cc80e0dfb33c329170a4ab0,"Samsung 840 EVO Series Solid State Drive 120GB SATA.
          ,
          ","
			R$ 345,89
         ","Lacosta Informática,
         2220-6503","
         MZ-7TE120BW - BOX, 

         ,
         ",Samsung,"Rio de Janeiro / RJ,Centro"
http://www.boadica.com.br/detalhevendedor.asp?codigo=7bfc846d6b66eb6a3b0f78b491c0abd1,"Samsung 840 EVO Series Solid State Drive 120GB SATA.
          ,
          ","
			R$ 345,90
         ","XT Gold,
         (21) 2544-5478","
         MZ-7TE120BW - BOX, 

         ,
         ",Samsung,"Rio de Janeiro / RJ,Centro"
http://www.boadica.com.br/detalhevendedor.asp?codigo=7de96c4fb4924257d8319be94e366763,"Samsung 840 EVO Series Solid State Drive 120GB SATA.
          ,
          ","
			R$ 345,90
         ","Interconnection,
         (21)3174-2933","
         MZ-7TE120BW - BOX, 

         ,
         ",Samsung,"Rio de Janeiro / RJ,Centro"
http://www.boadica.com.br/detalhevendedor.asp?codigo=2397d6504926e531a7e24061c0da60c9,"Samsung 840 EVO Series Solid State Drive 120GB SATA.
          ,
          ","
			R$ 345,99
         ","American Tech,
         (21) 3197-0952","
         MZ-7TE120BW - BOX, 

         ,
         ",Samsung,"Rio de Janeiro / RJ,Centro"
http://www.boadica.com.br/detalhevendedor.asp?codigo=f6b2402e3c51f5068e71c1c161b39bf9,"Kingston SSDNow V300 Series SV300S37A/120G 2.5"" 120GB SATA III Internal Solid State Drive (SSD)
          ,
          ","
			R$ 350,00
         ","New Routes,
         (21) 2591-1940","
         SV300S37A/120G - BOX, 

         ,
         ",Kingston,"Rio de Janeiro / RJ,Cachambi"
http://www.boadica.com.br/detalhevendedor.asp?codigo=4ba59a57d2ea954833a16baf120ad5e1,"Kingston SSDNow V300 Series SV300S37A/120G 2.5"" 120GB SATA III Internal Solid State Drive (SSD)
          ,
          ","
			R$ 360,00
         ","Info Smart,
         (21)2595-1596","
         SV300S37A/120G - BOX, 

         ,
         ",Kingston,"Rio de Janeiro / RJ,Cachambi"
http://www.boadica.com.br/detalhevendedor.asp?codigo=4d60b31adaffcfd30d4067364564cdb1,"SanDisk Ultra Plus SDSSDHP-128G-G25 2.5"" 128GB SATA II Internal Solid State Drive (SSD)
          ,
          ","
			R$ 365,00
         ","Info Design,
         (21) 2240-7546","
         SDSSDHP-128G-G25 - BOX,
         ",Sandisk,"Rio de Janeiro / RJ,Centro"
http://www.boadica.com.br/detalhevendedor.asp?codigo=3afecb996d31b5989a41dfdf23f37100,"SanDisk Ultra Plus SDSSDHP-128G-G25 2.5"" 128GB SATA II Internal Solid State Drive (SSD)
          ,
          ","
			R$ 365,00
         ","Pequeno Preço,
         (21) 2524-6526","
         SDSSDHP-128G-G25 - BOX,
         ",Sandisk,"Rio de Janeiro / RJ,Centro"
http://www.boadica.com.br/detalhevendedor.asp?codigo=767eeb515cc80e0dfb33c329170a4ab0,"Corsair Force LS Series CSSD-F120GBLS 2.5“ 120GB SATA III MLC Internal Solid State Drive (SSD)
          ,
          ","
			R$ 369,00
         ","Lacosta Informática,
         2220-6503","
         CSSD-F120GBLS, 

         ,
         ",Corsair,"Rio de Janeiro / RJ,Centro"
http://www.boadica.com.br/detalhevendedor.asp?codigo=767eeb515cc80e0dfb33c329170a4ab0,"Kingston SSDNow V300 Series SV300S37A/60G 2.5"" 60GB SATA III Internal Solid State Drive (SSD)
          ,
          ","
			R$ 220,00
         ","Lacosta Informática,
         2220-6503","
         SV300S37A/60G - BOX, 

         ,
         ",Kingston,"Rio de Janeiro / RJ,Centro"
http://www.boadica.com.br/detalhevendedor.asp?codigo=139eb2ffdfde1e3beb1cf7a2d80c5c1a,"Kingston HyperX 3K SH103S3/120G 2.5"" 120GB SATA III MLC Internal Solid State Drive (SSD) (Stand-Alone Drive)
          ,
          ","
			R$ 366,97
         ","Link das Redes,
         (21)3529-4128","
         SH103S3/120G - BOX,
         ",Kingston,"Rio de Janeiro / RJ,Centro"
http://www.boadica.com.br/detalhevendedor.asp?codigo=556a431151b11f1d5a7ed96fb7d0e5e0,"Kingston HyperX 3K SH103S3/120G 2.5"" 120GB SATA III MLC Internal Solid State Drive (SSD) (Stand-Alone Drive)
          ,
          ","
			R$ 366,99
         ","Only e One,
         (21)2215-2961","
         SH103S3/120G - BOX,
         ",Kingston,"Rio de Janeiro / RJ,Centro"
http://www.boadica.com.br/detalhevendedor.asp?codigo=04b6afbbac5be24ad48c5e613ad578be,"Kingston HyperX 3K SH103S3/120G 2.5"" 120GB SATA III MLC Internal Solid State Drive (SSD) (Stand-Alone Drive)
          ,
          ","
			R$ 367,00
         ","Arcanjo das redes,
         (21) 3197-1076","
         SH103S3/120G - BOX,
         ",Kingston,"Rio de Janeiro / RJ,Centro"
http://www.boadica.com.br/detalhevendedor.asp?codigo=7bfc846d6b66eb6a3b0f78b491c0abd1,"Kingston HyperX 3K SH103S3/120G 2.5"" 120GB SATA III MLC Internal Solid State Drive (SSD) (Stand-Alone Drive)
          ,
          ","
			R$ 369,00
         ","XT Gold,
         (21) 2544-5478","
         SH103S3/120G - BOX,
         ",Kingston,"Rio de Janeiro / RJ,Centro"
http://www.boadica.com.br/detalhevendedor.asp?codigo=57def18d4fc45a6b3f50a17b9f5236ae,"SanDisk Ultra Plus SDSSDHP-128G-G25 2.5"" 128GB SATA II Internal Solid State Drive (SSD)
          ,
          ","
			R$ 370,00
         ","Sapphire,
         (21) 2222-3176 ","
         SDSSDHP-128G-G25 - BOX,
         ",Sandisk,"Rio de Janeiro / RJ,Centro"
http://www.boadica.com.br/detalhevendedor.asp?codigo=7de96c4fb4924257d8319be94e366763,"Kingston HyperX 3K SH103S3/120G 2.5"" 120GB SATA III MLC Internal Solid State Drive (SSD) (Stand-Alone Drive)
          ,
          ","
			R$ 373,00
         ","Interconnection,
         (21)3174-2933","
         SH103S3/120G - BOX,
         ",Kingston,"Rio de Janeiro / RJ,Centro"
http://www.boadica.com.br/detalhevendedor.asp?codigo=2113c03925b6a1a97a7643c08cab9449,"SanDisk SD6SB1M-128G-1022I 2.5"" 128GB SATA III Internal Solid State Drive (SSD).
          ,
          ","
			R$ 389,00
         ","Compolass,
         (21) 2220-9538 ","
         SD6SB1M-128G-1022I - BOX,
         ",Sandisk,"Rio de Janeiro / RJ,Centro"
http://www.boadica.com.br/detalhevendedor.asp?codigo=13e4d55e3124060c8e729b83c68dfd7e,"Kingston SSDNow V300 Series SV300S37A/120G 2.5"" 120GB SATA III Internal Solid State Drive (SSD)
          ,
          ","
			R$ 389,00
         ","Infocoast,
         (21)2580-4050","
         SV300S37A/120G, 

         ,
         ",Kingston,"Rio de Janeiro / RJ,São Cristovão"
http://www.boadica.com.br/detalhevendedor.asp?codigo=6b4bf06c3792f10fa24088c5a7f2cbbd,"Samsung 840 EVO Series Solid State Drive 120GB SATA.
          ,
          ","
			R$ 398,00
         ","Ghamma-Tech,
         (21)2549-9992","
         MZ-7TE120BW - BOX, 

         ,
         ",Samsung,"Rio de Janeiro / RJ,Copacabana"
http://www.boadica.com.br/detalhevendedor.asp?codigo=53d96b7b5d17dfdd203e5dc78de531fa,"Kingston SSDNow V300 Series SV300S37A/120G 2.5"" 120GB SATA III Internal Solid State Drive (SSD, Kit Desktop)
          ,
          ","
			R$ 398,95
         ","NC Games,
         (21)3529-4418","
         SV300S3D7/120G - BOX,
         ",Kingston,"Rio de Janeiro / RJ,Centro"
http://www.boadica.com.br/detalhevendedor.asp?codigo=767eeb515cc80e0dfb33c329170a4ab0,"OCZ Vertex 450 Series VTX450-25SAT3-128G 2.5“ 128GB SATA III MLC Internal Solid State Drive (SSD)
          ,
          ","
			R$ 399,00
         ","Lacosta Informática,
         2220-6503","
         VTX450-25SAT3-128G - BOX, 

         ,
         ",Ocz,"Rio de Janeiro / RJ,Centro"
http://www.boadica.com.br/detalhevendedor.asp?codigo=d405eeace0695af1d1b5a173b8ae1a85,"Kingston SSDNow V300 Series SV300S37A/120G 2.5"" 120GB SATA III Internal Solid State Drive (SSD, Kit Desktop)
          ,
          ","
			R$ 399,00
         ","Treze Tech,
         3315-1885","
         SV300S3D7/120G - BOX,
         ",Kingston,"Rio de Janeiro / RJ,Cachambi"
http://www.boadica.com.br/detalhevendedor.asp?codigo=e358c00e3601066939ca72499427cba8,"Plextor M5S Series PX-128M5S 2.5"" 128GB SATA III Internal Solid State Drive (SSD)
          ,
          ","
			R$ 399,00
         ","Four Info,
         (21) 2262-5198","
         PX-128M5S - BOX,
         ",Plextor,"Rio de Janeiro / RJ,Centro"
http://www.boadica.com.br/detalhevendedor.asp?codigo=d63132a4fc22466f1ed62b11af091bff,"Kingston SSDNow V300 Series SV300S37A/120G 2.5"" 120GB SATA III Internal Solid State Drive (SSD, Kit Desktop)
          ,
          ","
			R$ 399,00
         ","Kbyte Informática,
         (21)2215-1144","
         SV300S3D7/120G - BOX,
         ",Kingston,"Rio de Janeiro / RJ,Centro"
http://www.boadica.com.br/detalhevendedor.asp?codigo=12f40959cb55205eee308f11ba5922e2,"Plextor M5S Series PX-128M5S 2.5"" 128GB SATA III Internal Solid State Drive (SSD)
          ,
          ","
			R$ 399,00
         ","IAS Tecnologia,
         (21) 2401-1026","
         PX-128M5S,
         ",Plextor,"Rio de Janeiro / RJ,Bangu"
http://www.boadica.com.br/detalhevendedor.asp?codigo=a54b413940d7bd067f6a00d38fe5dd45,"Kingston SSDNow V300 Series SV300S37A/120G 2.5"" 120GB SATA III Internal Solid State Drive (SSD, Kit Desktop)
          ,
          ","
			R$ 399,00
         ","A11 Informática,
         (21) 3549-4370","
         SV300S3D7/120G - BOX,
         ",Kingston,"Rio de Janeiro / RJ,Centro"
http://www.boadica.com.br/detalhevendedor.asp?codigo=ed16309150778b30ebbfe56f4ea8c74b,"Kingston SSDNow V300 Series SV300S37A/120G 2.5"" 120GB SATA III Internal Solid State Drive (SSD, Kit Desktop)
          ,
          ","
			R$ 399,00
         ","Elegance Computer,
         (21) 2220-0153","
         SV300S3D7/120G - BOX,
         ",Kingston,"Rio de Janeiro / RJ,Centro"
http://www.boadica.com.br/detalhevendedor.asp?codigo=857de2a8b8997e0a50dc0734f2422a82,"Kingston HyperX 3K SH103S3/120G 2.5"" 120GB SATA III MLC Internal Solid State Drive (SSD) (Stand-Alone Drive)
          ,
          ","
			R$ 400,00
         ","Bit Tuning,
         (21) 3527-4086","
         SH103S3/120G - BOX,
         ",Kingston,"Rio de Janeiro / RJ,Centro"
http://www.boadica.com.br/detalhevendedor.asp?codigo=1d1a90aa27e839069cfe362dfa88c0eb,"Kingston SSDNow V300 Series SV300S37A/120G 2.5"" 120GB SATA III Internal Solid State Drive (SSD, Kit Desktop)
          ,
          ","
			R$ 408,00
         ","Quero Preço São Gonçalo,
         (21)3856-4642","
         SV300S3D7/120G - BOX,
         ",Kingston,"São Gonçalo / RJ,Centro"
http://www.boadica.com.br/detalhevendedor.asp?codigo=767eeb515cc80e0dfb33c329170a4ab0,"OCZ Vectron Series VTR1-25SAT3-128G 2.5"" 128GB SATA III Internal Solid State Drive (SSD).
          ,
          ","
			R$ 444,80
         ","Lacosta Informática,
         2220-6503","
         VTR1-25SAT3-128G - BOX,
         ",Ocz,"Rio de Janeiro / RJ,Centro"
http://www.boadica.com.br/detalhevendedor.asp?codigo=4caa4a8cfa489ae997a1267d37a79b8b,"OCZ Vertex 4 VTX4-25SAT3-128G 2.5"" 128GB SATA III MLC Internal Solid State Drive (SSD)
          ,
          ","
			R$ 444,90
         ","Gamemart Rio,
         (21) 2524-6672","
         VTX4-25SAT3-128G - BOX,
         ",Ocz,"Rio de Janeiro / RJ,Centro"
http://www.boadica.com.br/detalhevendedor.asp?codigo=4caa4a8cfa489ae997a1267d37a79b8b,"SanDisk Extreme II 120 GB SATA 6.0 Gbs 2.5-Inch Solid State Drive SDSSDXP-120G-G25.
          ,
          ","
			R$ 448,00
         ","Gamemart Rio,
         (21) 2524-6672","
         SDSSDXP-120G-G25, 

         ,
         ",Sandisk,"Rio de Janeiro / RJ,Centro"
http://www.boadica.com.br/detalhevendedor.asp?codigo=767eeb515cc80e0dfb33c329170a4ab0,"SanDisk Extreme II 120 GB SATA 6.0 Gbs 2.5-Inch Solid State Drive SDSSDXP-120G-G25.
          ,
          ","
			R$ 448,80
         ","Lacosta Informática,
         2220-6503","
         SDSSDXP-120G-G25 - BOX, 

         ,
         ",Sandisk,"Rio de Janeiro / RJ,Centro"
http://www.boadica.com.br/detalhevendedor.asp?codigo=4caa4a8cfa489ae997a1267d37a79b8b,"Crucial M550 CT128M550SSD1 2.5“ 128GB SATA 6Gb/s MLC Internal Solid State Drive (SSD)
          ,
          ","
			R$ 449,90
         ","Gamemart Rio,
         (21) 2524-6672","
         CT128M550SSD1,
         ",,"Rio de Janeiro / RJ,Centro"
http://www.boadica.com.br/detalhevendedor.asp?codigo=b3803fe7a3303c50f80b4ee115878d4b,"SanDisk Ultra Plus SDSSDHP-64G-G25 2.5“ 64GB SATA II Internal Solid State Drive (SSD)
          ,
          ","
			R$ 230,00
         ","Universo dos Eletrônicos,
         (21) 3174-2320","
         SDSSDHP-064G-G25 - BOX,
         ",Sandisk,"Rio de Janeiro / RJ,Centro"
http://www.boadica.com.br/detalhevendedor.asp?codigo=98deca39142df17b5490b0238c4a95a0,"Kingston SSDNow V300 Series SV300S37A/60G 2.5"" 60GB SATA III Internal Solid State Drive (SSD)
          ,
          ","
			R$ 230,00
         ","Trevo Informática,
         (21) 2653-1564","
         SV300S37A/60G - BOX, 

         ,
         ",Kingston,"Duque de Caxias / RJ,Centro"
http://www.boadica.com.br/detalhevendedor.asp?codigo=d60a1389a0386f303268aebbd286b51c,"SanDisk Ultra Plus SDSSDHP-64G-G25 2.5“ 64GB SATA II Internal Solid State Drive (SSD)
          ,
          ","
			R$ 230,00
         ","Triunfo Eletrônico,
         (21) 2292-8099","
         SDSSDHP-064G-G25 - BOX,
         ",Sandisk,"Rio de janeiro / RJ,Centro"
http://www.boadica.com.br/detalhevendedor.asp?codigo=53d96b7b5d17dfdd203e5dc78de531fa,"Kingston SSDNow V300 Series SV300S37A/60G 2.5"" 60GB SATA III Internal Solid State Drive (SSD)
          ,
          ","
			R$ 243,95
         ","NC Games,
         (21)3529-4418","
         SV300S37A/60G - BOX, 

         ,
         ",Kingston,"Rio de Janeiro / RJ,Centro"
http://www.boadica.com.br/detalhevendedor.asp?codigo=2397d6504926e531a7e24061c0da60c9,"Kingston SSDNow V300 Series SV300S37A/60G 2.5"" 60GB SATA III Internal Solid State Drive (SSD)
          ,
          ","
			R$ 244,00
         ","American Tech,
         (21) 3197-0952","
         SV300S37A/60G - BOX, 

         ,
         ",Kingston,"Rio de Janeiro / RJ,Centro"
http://www.boadica.com.br/detalhevendedor.asp?codigo=767eeb515cc80e0dfb33c329170a4ab0,"Plextor M5M PX-64M5M mSATA 64GB SATA III MLC Internal Solid State Drive (SSD)
          ,
          ","
			R$ 245,00
         ","Lacosta Informática,
         2220-6503","
         PX-64M5M - BOX,
         ",Plextor,"Rio de Janeiro / RJ,Centro"
http://www.boadica.com.br/detalhevendedor.asp?codigo=4d60b31adaffcfd30d4067364564cdb1,"Kingston SSDNow V300 Series SV300S37A/60G 2.5"" 60GB SATA III Internal Solid State Drive (SSD)
          ,
          ","
			R$ 245,00
         ","Info Design,
         (21) 2240-7546","
         SV300S37A/60G - BOX, 

         ,
         ",Kingston,"Rio de Janeiro / RJ,Centro"
http://www.boadica.com.br/detalhevendedor.asp?codigo=12a9fd85c35a350a6ea73983a4974c4a,"Kingston SSDNow V300 Series SV300S37A/60G 2.5"" 60GB SATA III Internal Solid State Drive (SSD)
          ,
          ","
			R$ 260,00
         ","New Routes Iguaçu,
         (21) 2768-3246","
         SV300S37A/60G - BOX, 

         ,
         ",Kingston,"Nova Iguaçu / RJ,Centro"
http://www.boadica.com.br/detalhevendedor.asp?codigo=ec709ab56d6c2b95e3d3fcdceafebd76,"Kingston SSDNow V300 Series SV300S37A/60G 2.5"" 60GB SATA III Internal Solid State Drive (SSD)
          ,
          ","
			R$ 260,00
         ","New Routes Nilópolis,
         (21)3762-6504","
         SV300S37A/60G - BOX, 

         ,
         ",Kingston,"Nilópolis / RJ,Centro"
http://www.boadica.com.br/detalhevendedor.asp?codigo=f6b2402e3c51f5068e71c1c161b39bf9,"Kingston SSDNow V300 Series SV300S37A/60G 2.5"" 60GB SATA III Internal Solid State Drive (SSD)
          ,
          ","
			R$ 260,00
         ","New Routes,
         (21) 2591-1940","
         SV300S37A/60G - BOX, 

         ,
         ",Kingston,"Rio de Janeiro / RJ,Cachambi"
http://www.boadica.com.br/detalhevendedor.asp?codigo=0c4ac1e2e480117996db1281440376eb,"Wi-Drive Storage Portátil 16GB, Armazenamento portátil e sem fios com 16Gb. Compatível com iPad, iPhone, e iPod touch. Integrado com Wi-Fi 802.11g/n; Sistema Operacional Compativel (Windows 7, Windows Vista (SP1, SP2), Mac OS v.10.5.x+ ,Linux v.2.6.x+)
          ,
          ","
			R$ 139,00
         ","IR Print,
         (21) 3468-7381","
         WID/16GBZE  ,
         ",Kingston,"Rio de Janeiro / RJ,Bangu"
http://www.boadica.com.br/detalhevendedor.asp?codigo=53d96b7b5d17dfdd203e5dc78de531fa,"Kingston SSDNow V+200 120GB 2.5"" SATA III Enterprise Solid State Disk (Kit com adaptador para Desktop e Case Externo USB)
          ,
          ","
			R$ 453,70
         ","NC Games,
         (21)3529-4418","
         SVP200S3B/120G - BOX,
         ",Kingston,"Rio de Janeiro / RJ,Centro"
http://www.boadica.com.br/detalhevendedor.asp?codigo=7f5217c00f8d6839dbbd5740d1391bf6,"Kingston SSDNow V200 Series SV200S37A/120G 2.5"" 120GB SATA III Internal Solid State Drive.
          ,
          ","
			R$ 460,00
         ","Brasil Tech,
         (21) 3529-4419","
         SVP200S37A/120GB - BOX,
         ",Kingston,"Rio de Janeiro / RJ,Centro"
